type,latitude,longitude,alt
T,48.9857,8.39026,115.782
T,48.9856,8.39023,115.782
T,48.9856,8.39021,115.789
T,48.9856,8.39019,115.769
T,48.9855,8.39016,115.737
T,48.9855,8.39014,115.716
T,48.9855,8.39011,115.685
T,48.9854,8.39009,115.662
T,48.9854,8.39006,115.613
T,48.9854,8.39004,115.674
T,48.9853,8.39002,115.649
T,48.9853,8.38999,115.675
T,48.9853,8.38997,115.685
T,48.9853,8.38994,115.7
T,48.9852,8.38992,115.685
T,48.9852,8.3899,115.698
T,48.9852,8.38988,115.71
T,48.9851,8.38986,115.71
T,48.9851,8.38984,115.71
T,48.9851,8.38983,115.712
T,48.9851,8.38982,115.711
T,48.9851,8.38981,115.704
T,48.9851,8.38981,115.691
T,48.9851,8.38981,115.669
T,48.985,8.38981,115.616
T,48.985,8.38983,115.552
T,48.985,8.38985,115.507
T,48.985,8.38988,115.456
T,48.985,8.38991,115.435
T,48.985,8.38995,115.39
T,48.9849,8.38998,115.407
T,48.9849,8.39002,115.378
T,48.9849,8.39006,115.358
T,48.9849,8.39011,115.33
T,48.9849,8.39015,115.316
T,48.9849,8.39019,115.306
T,48.9849,8.39024,115.284
T,48.9848,8.39028,115.234
T,48.9848,8.39033,115.182
T,48.9848,8.39037,115.188
T,48.9848,8.3904,115.218
T,48.9848,8.39044,115.27
T,48.9848,8.39047,115.312
T,48.9848,8.39049,115.339
T,48.9848,8.39052,115.331
T,48.9848,8.39055,115.288
T,48.9847,8.39058,115.248
T,48.9847,8.39061,115.203
T,48.9847,8.39063,115.125
T,48.9847,8.39066,115.07
T,48.9847,8.39069,115.105
T,48.9847,8.39072,115.155
T,48.9848,8.39074,115.18
T,48.9848,8.39076,115.18
T,48.9848,8.39078,115.166
T,48.9848,8.3908,115.151
T,48.9848,8.39081,115.146
T,48.9848,8.39083,115.101
T,48.9848,8.39085,115.103
T,48.9848,8.39087,115.047
T,48.9848,8.39089,115.001
T,48.9848,8.39092,114.963
T,48.9848,8.39094,114.905
T,48.9848,8.39097,114.891
T,48.9848,8.391,114.843
T,48.9848,8.39103,114.803
T,48.9848,8.39107,114.752
T,48.9848,8.39111,114.638
T,48.9847,8.39115,114.562
T,48.9847,8.39119,114.51
T,48.9847,8.39123,114.495
T,48.9847,8.39127,114.568
T,48.9847,8.39132,114.655
T,48.9847,8.39136,114.712
T,48.9847,8.3914,114.735
T,48.9846,8.39144,114.778
T,48.9846,8.39148,114.817
T,48.9846,8.39152,114.845
T,48.9846,8.39156,114.792
T,48.9846,8.3916,114.731
T,48.9846,8.39163,114.671
T,48.9846,8.39166,114.604
T,48.9846,8.39169,114.559
T,48.9846,8.39172,114.567
T,48.9846,8.39174,114.536
T,48.9845,8.39176,114.529
T,48.9845,8.39178,114.579
T,48.9845,8.39179,114.613
T,48.9845,8.39179,114.613
T,48.9845,8.3918,114.63
T,48.9845,8.39181,114.593
T,48.9845,8.39182,114.592
T,48.9845,8.39182,114.689
T,48.9845,8.39183,114.762
T,48.9845,8.39184,114.765
T,48.9845,8.39184,114.801
T,48.9844,8.39183,114.853
T,48.9844,8.39181,114.866
T,48.9844,8.3918,114.879
T,48.9844,8.39177,114.876
T,48.9843,8.39175,114.852
T,48.9843,8.39172,114.836
T,48.9843,8.3917,114.844
T,48.9842,8.39167,114.868
T,48.9842,8.39164,114.898
T,48.9842,8.39161,114.943
T,48.9841,8.39158,114.98
T,48.9841,8.39156,115.016
T,48.9841,8.39153,115.058
T,48.984,8.39149,115.048
T,48.984,8.39146,115.059
T,48.9839,8.39143,115.078
T,48.9839,8.3914,115.099
T,48.9839,8.39136,115.128
T,48.9838,8.39133,115.193
T,48.9838,8.3913,115.266
T,48.9837,8.39126,115.251
T,48.9837,8.39123,115.246
T,48.9836,8.3912,115.225
T,48.9836,8.39117,115.292
T,48.9836,8.39114,115.375
T,48.9835,8.39111,115.512
T,48.9835,8.39108,115.593
T,48.9835,8.39105,115.655
T,48.9834,8.39103,115.719
T,48.9834,8.39101,115.785
T,48.9834,8.39099,115.82
T,48.9834,8.39098,115.856
T,48.9833,8.39097,115.888
T,48.9833,8.39096,115.926
T,48.9833,8.39097,115.955
T,48.9833,8.39098,115.921
T,48.9833,8.39099,115.898
T,48.9833,8.39101,115.87
T,48.9832,8.39103,115.859
T,48.9832,8.39106,115.867
T,48.9832,8.39109,115.855
T,48.9832,8.39112,115.856
T,48.9832,8.39115,115.846
T,48.9832,8.39119,115.818
T,48.9832,8.39123,115.777
T,48.9832,8.39127,115.788
T,48.9831,8.39132,115.813
T,48.9831,8.39136,115.824
T,48.9831,8.3914,115.819
T,48.9831,8.39144,115.819
T,48.9831,8.39147,115.825
T,48.9831,8.39151,115.858
T,48.983,8.39156,115.875
T,48.983,8.3916,115.887
T,48.983,8.39163,115.93
T,48.983,8.39167,115.943
T,48.9829,8.3917,115.935
T,48.9829,8.39173,115.855
T,48.9829,8.39176,115.868
T,48.9829,8.39179,115.829
T,48.9828,8.39182,115.812
T,48.9828,8.39185,115.855
T,48.9828,8.39188,115.879
T,48.9828,8.39191,115.9
T,48.9827,8.39194,115.922
T,48.9827,8.39196,115.93
T,48.9827,8.39198,115.959
T,48.9826,8.392,115.986
T,48.9826,8.39201,116.011
T,48.9826,8.39203,116.034
T,48.9825,8.39204,116.034
T,48.9825,8.39205,116.037
T,48.9825,8.39207,116.037
T,48.9825,8.39208,116.012
T,48.9825,8.39209,116.019
T,48.9824,8.39211,115.969
T,48.9824,8.39212,115.901
T,48.9824,8.39214,115.891
T,48.9823,8.39216,115.88
T,48.9823,8.39218,115.869
T,48.9823,8.3922,115.86
T,48.9823,8.39222,115.791
T,48.9822,8.39224,115.776
T,48.9822,8.39226,115.76
T,48.9822,8.39228,115.72
T,48.9821,8.3923,115.679
T,48.9821,8.39232,115.694
T,48.9821,8.39234,115.673
T,48.982,8.39236,115.66
T,48.982,8.39238,115.727
T,48.982,8.39239,115.727
T,48.982,8.3924,115.789
T,48.9819,8.39242,115.81
T,48.9819,8.39243,115.819
T,48.9819,8.39246,115.85
T,48.9819,8.39248,115.842
T,48.9819,8.39251,115.81
T,48.9819,8.39254,115.795
T,48.9819,8.39258,115.765
T,48.9819,8.39261,115.79
T,48.9818,8.39264,115.795
T,48.9818,8.39268,115.797
T,48.9818,8.39271,115.772
T,48.9818,8.39274,115.727
T,48.9818,8.39278,115.694
T,48.9818,8.39282,115.697
T,48.9817,8.39285,115.708
T,48.9817,8.39289,115.702
T,48.9817,8.39293,115.687
T,48.9817,8.39297,115.727
T,48.9817,8.393,115.701
T,48.9817,8.39304,115.693
T,48.9816,8.39308,115.714
T,48.9816,8.39312,115.703
T,48.9816,8.39316,115.703
T,48.9816,8.3932,115.706
T,48.9816,8.39324,115.68
T,48.9815,8.39328,115.719
T,48.9815,8.39332,115.767
T,48.9815,8.39336,115.791
T,48.9815,8.3934,115.824
T,48.9815,8.39343,115.867
T,48.9815,8.39347,115.867
T,48.9814,8.3935,115.89
T,48.9814,8.39352,115.904
T,48.9814,8.39355,115.918
T,48.9814,8.39357,115.933
T,48.9814,8.39359,115.947
T,48.9814,8.39361,115.954
T,48.9814,8.39362,115.964
T,48.9814,8.39363,115.987
T,48.9814,8.39364,116.01
T,48.9814,8.39365,116.024
T,48.9814,8.39367,116.013
T,48.9814,8.39369,115.995
T,48.9814,8.39371,115.975
T,48.9814,8.39373,115.954
T,48.9814,8.39375,115.934
T,48.9814,8.39377,115.929
T,48.9814,8.39379,115.934
T,48.9814,8.39382,115.913
T,48.9815,8.39384,115.906
T,48.9815,8.39387,115.911
T,48.9815,8.3939,115.879
T,48.9816,8.39393,115.908
T,48.9816,8.39396,115.902
T,48.9816,8.39399,115.919
T,48.9816,8.39403,115.893
T,48.9817,8.39406,115.863
T,48.9817,8.39409,115.883
T,48.9817,8.39412,115.888
T,48.9818,8.39415,115.865
T,48.9818,8.39419,115.831
T,48.9818,8.39422,115.853
T,48.9819,8.39425,115.855
T,48.9819,8.39428,115.845
T,48.9819,8.39431,115.859
T,48.9819,8.39434,115.882
T,48.982,8.39438,115.863
T,48.982,8.39441,115.875
T,48.982,8.39444,115.868
T,48.9821,8.39448,115.862
T,48.9821,8.39451,115.883
T,48.9821,8.39454,115.886
T,48.9821,8.39458,115.949
T,48.9822,8.39461,115.958
T,48.9822,8.39464,115.983
T,48.9822,8.39466,115.971
T,48.9822,8.39469,115.968
T,48.9822,8.39472,115.973
T,48.9823,8.39474,115.977
T,48.9823,8.39476,115.957
T,48.9823,8.39478,115.964
T,48.9823,8.39479,115.94
T,48.9823,8.3948,115.971
T,48.9823,8.3948,116.006
T,48.9824,8.3948,116.041
T,48.9824,8.3948,116.076
T,48.9824,8.39478,116.146
T,48.9824,8.39476,116.232
T,48.9824,8.39474,116.297
T,48.9825,8.39471,116.395
T,48.9825,8.39469,116.472
T,48.9825,8.39466,116.559
T,48.9826,8.39463,116.594
T,48.9826,8.3946,116.72
T,48.9826,8.39458,116.727
T,48.9827,8.39456,116.714
T,48.9827,8.39454,116.65
T,48.9827,8.39451,116.557
T,48.9827,8.39449,116.47
T,48.9828,8.39446,116.428
T,48.9828,8.39444,116.385
T,48.9828,8.39441,116.378
T,48.9829,8.39438,116.342
T,48.9829,8.39435,116.36
T,48.9829,8.39433,116.389
T,48.983,8.3943,116.386
T,48.983,8.39427,116.403
T,48.983,8.39425,116.406
T,48.983,8.39423,116.438
T,48.9831,8.39421,116.467
T,48.9831,8.39419,116.479
T,48.9831,8.39417,116.489
T,48.9831,8.39416,116.48
T,48.9831,8.39415,116.5
T,48.9831,8.39414,116.51
T,48.9831,8.39414,116.491
T,48.9831,8.39414,116.482
T,48.9832,8.39413,116.463
T,48.9832,8.39412,116.472
T,48.9832,8.39412,116.498
T,48.9832,8.3941,116.524
T,48.9832,8.39409,116.506
T,48.9832,8.39407,116.501
T,48.9833,8.39405,116.499
T,48.9833,8.39403,116.498
T,48.9833,8.39401,116.496
T,48.9833,8.39399,116.512
T,48.9834,8.39396,116.507
T,48.9834,8.39394,116.496
T,48.9834,8.39391,116.489
T,48.9834,8.39389,116.477
T,48.9835,8.39387,116.504
T,48.9835,8.39385,116.534
T,48.9835,8.39383,116.553
T,48.9835,8.39381,116.549
T,48.9836,8.39379,116.585
T,48.9836,8.39377,116.606
T,48.9836,8.39374,116.618
T,48.9836,8.39371,116.634
T,48.9836,8.39368,116.586
T,48.9836,8.39364,116.54
T,48.9836,8.3936,116.527
T,48.9836,8.39356,116.513
T,48.9836,8.39352,116.51
T,48.9837,8.39347,116.486
T,48.9837,8.39342,116.538
T,48.9837,8.39337,116.517
T,48.9837,8.39332,116.574
T,48.9837,8.39327,116.567
T,48.9837,8.39322,116.594
T,48.9838,8.39318,116.608
T,48.9838,8.39313,116.659
T,48.9838,8.39308,116.695
T,48.9838,8.39304,116.717
T,48.9838,8.39299,116.746
T,48.9838,8.39295,116.78
T,48.9838,8.39292,116.809
T,48.9839,8.39289,116.82
T,48.9839,8.39286,116.819
T,48.9839,8.39283,116.808
T,48.9839,8.39281,116.776
T,48.9839,8.39279,116.771
T,48.9839,8.39278,116.763
T,48.984,8.39278,116.722
T,48.984,8.39278,116.709
T,48.984,8.39279,116.688
T,48.984,8.39281,116.699
T,48.9841,8.39283,116.679
T,48.9841,8.39285,116.695
T,48.9841,8.39287,116.751
T,48.9841,8.39289,116.845
T,48.9842,8.39291,116.842
T,48.9842,8.39294,116.846
T,48.9842,8.39296,116.852
T,48.9843,8.39299,116.878
T,48.9843,8.39301,116.886
T,48.9843,8.39304,116.913
T,48.9844,8.39307,116.903
T,48.9844,8.39309,116.907
T,48.9844,8.39312,116.942
T,48.9845,8.39315,116.93
T,48.9845,8.39317,116.873
T,48.9845,8.3932,116.8
T,48.9846,8.39322,116.739
T,48.9846,8.39325,116.709
T,48.9846,8.39327,116.626
T,48.9847,8.39329,116.59
T,48.9847,8.39332,116.596
T,48.9847,8.39334,116.572
T,48.9848,8.39336,116.552
T,48.9848,8.39338,116.532
T,48.9848,8.3934,116.48
T,48.9849,8.39343,116.457
T,48.9849,8.39345,116.418
T,48.9849,8.39348,116.413
T,48.9849,8.39351,116.395
T,48.985,8.39353,116.342
T,48.985,8.39356,116.289
T,48.985,8.39358,116.261
T,48.9851,8.3936,116.275
T,48.9851,8.39362,116.238
T,48.9851,8.39364,116.221
T,48.9851,8.39366,116.247
T,48.9851,8.39368,116.218
T,48.9852,8.39369,116.2
T,48.9852,8.39371,116.18
T,48.9852,8.39373,116.181
T,48.9852,8.39374,116.159
T,48.9853,8.39377,116.148
T,48.9853,8.39379,116.236
T,48.9853,8.39382,116.281
T,48.9854,8.39385,116.298
T,48.9854,8.39388,116.318
T,48.9854,8.39391,116.34
T,48.9855,8.39393,116.338
T,48.9855,8.39396,116.365
T,48.9855,8.39399,116.33
T,48.9856,8.39401,116.362
T,48.9856,8.39404,116.371
T,48.9856,8.39406,116.404
T,48.9857,8.39408,116.424
T,48.9857,8.3941,116.411
T,48.9857,8.39411,116.438
T,48.9857,8.39412,116.447
T,48.9857,8.39413,116.448
T,48.9858,8.39415,116.459
T,48.9858,8.39417,116.473
T,48.9858,8.39419,116.486
T,48.9858,8.39421,116.5
T,48.9858,8.39423,116.48
T,48.9858,8.39426,116.447
T,48.9858,8.39428,116.414
T,48.9858,8.39431,116.389
T,48.9858,8.39434,116.363
T,48.9857,8.39437,116.344
T,48.9857,8.39441,116.358
T,48.9857,8.39445,116.35
T,48.9857,8.3945,116.324
T,48.9857,8.39454,116.354
T,48.9857,8.39459,116.338
T,48.9857,8.39463,116.324
T,48.9856,8.39468,116.319
T,48.9856,8.39473,116.333
T,48.9856,8.39477,116.305
T,48.9856,8.39482,116.303
T,48.9856,8.39487,116.296
T,48.9856,8.39491,116.342
T,48.9855,8.39496,116.337
T,48.9855,8.395,116.399
T,48.9855,8.39505,116.424
T,48.9855,8.39509,116.43
T,48.9855,8.39514,116.433
T,48.9855,8.39518,116.435
T,48.9855,8.39523,116.386
T,48.9855,8.39527,116.366
T,48.9855,8.39532,116.369
T,48.9855,8.39536,116.367
T,48.9855,8.39541,116.362
T,48.9854,8.39545,116.365
T,48.9854,8.3955,116.422
T,48.9854,8.39554,116.471
T,48.9854,8.39558,116.533
T,48.9854,8.39562,116.584
T,48.9854,8.39566,116.618
T,48.9854,8.3957,116.649
T,48.9854,8.39573,116.675
T,48.9854,8.39575,116.708
T,48.9854,8.39577,116.669
T,48.9854,8.39579,116.651
T,48.9854,8.39581,116.657
T,48.9854,8.39583,116.63
T,48.9854,8.39585,116.648
T,48.9854,8.39586,116.648
T,48.9854,8.39588,116.644
T,48.9854,8.39589,116.645
T,48.9853,8.3959,116.642
T,48.9853,8.3959,116.622
T,48.9853,8.39591,116.569
T,48.9852,8.39592,116.521
T,48.9852,8.39593,116.507
T,48.9852,8.39593,116.508
T,48.9851,8.39594,116.489
T,48.9851,8.39595,116.502
T,48.9851,8.39596,116.497
T,48.985,8.39597,116.51
T,48.985,8.39597,116.522
T,48.985,8.39598,116.494
T,48.9849,8.39599,116.468
T,48.9849,8.396,116.454
T,48.9849,8.39601,116.45
T,48.9848,8.39602,116.445
T,48.9848,8.39603,116.44
T,48.9847,8.39604,116.435
T,48.9847,8.39605,116.435
T,48.9847,8.39605,116.441
T,48.9846,8.39606,116.447
T,48.9846,8.39606,116.453
T,48.9846,8.39606,116.46
T,48.9846,8.39606,116.472
T,48.9845,8.39605,116.491
T,48.9845,8.39603,116.502
T,48.9845,8.39601,116.517
T,48.9845,8.39598,116.507
T,48.9845,8.39594,116.455
T,48.9845,8.39591,116.397
T,48.9845,8.39587,116.332
T,48.9845,8.39582,116.297
T,48.9845,8.39578,116.234
T,48.9845,8.39573,116.178
T,48.9845,8.39568,116.15
T,48.9846,8.39563,116.175
T,48.9846,8.39557,116.198
T,48.9846,8.39552,116.246
T,48.9846,8.39546,116.305
T,48.9846,8.39541,116.364
T,48.9846,8.39535,116.407
T,48.9847,8.3953,116.433
T,48.9847,8.39524,116.427
T,48.9847,8.39519,116.445
T,48.9847,8.39514,116.46
T,48.9847,8.39509,116.483
T,48.9848,8.39504,116.469
T,48.9848,8.39499,116.474
T,48.9848,8.39494,116.483
T,48.9848,8.3949,116.494
T,48.9848,8.39487,116.517
T,48.9848,8.39483,116.514
T,48.9848,8.3948,116.508
T,48.9848,8.39477,116.462
T,48.9848,8.39475,116.443
T,48.9848,8.39472,116.436
T,48.9848,8.3947,116.433
T,48.9848,8.39468,116.388
T,48.9848,8.39466,116.393
T,48.9848,8.39464,116.359
T,48.9848,8.39462,116.344
T,48.9847,8.3946,116.337
T,48.9847,8.39458,116.338
T,48.9847,8.39456,116.361
T,48.9847,8.39453,116.353
T,48.9846,8.39451,116.346
T,48.9846,8.39448,116.369
T,48.9846,8.39445,116.403
T,48.9845,8.39443,116.447
T,48.9845,8.3944,116.492
T,48.9845,8.39437,116.477
T,48.9844,8.39435,116.445
T,48.9844,8.39432,116.449
T,48.9843,8.39429,116.444
T,48.9843,8.39426,116.453
T,48.9843,8.39423,116.428
T,48.9842,8.39421,116.389
T,48.9842,8.39418,116.394
T,48.9842,8.39415,116.384
T,48.9841,8.39412,116.454
T,48.9841,8.39409,116.459
T,48.984,8.39406,116.481
T,48.984,8.39403,116.494
T,48.984,8.394,116.48
T,48.9839,8.39398,116.497
T,48.9839,8.39395,116.438
T,48.9839,8.39392,116.478
T,48.9838,8.39389,116.449
T,48.9838,8.39387,116.455
T,48.9838,8.39385,116.479
T,48.9837,8.39383,116.545
T,48.9837,8.39381,116.616
T,48.9837,8.39379,116.649
T,48.9837,8.39378,116.672
T,48.9837,8.39377,116.668
T,48.9837,8.39375,116.674
T,48.9836,8.39374,116.679
T,48.9836,8.39372,116.694
T,48.9836,8.3937,116.686
T,48.9836,8.39367,116.637
T,48.9836,8.39364,116.602
T,48.9836,8.39361,116.582
T,48.9836,8.39358,116.544
T,48.9836,8.39354,116.542
T,48.9837,8.39351,116.52
T,48.9837,8.39347,116.526
T,48.9837,8.39342,116.565
T,48.9837,8.39338,116.54
T,48.9837,8.39333,116.581
T,48.9837,8.39328,116.552
T,48.9838,8.39323,116.578
T,48.9838,8.39318,116.584
T,48.9838,8.39314,116.643
T,48.9838,8.39309,116.681
T,48.9838,8.39304,116.708
T,48.9838,8.393,116.688
T,48.9838,8.39296,116.676
T,48.9839,8.39292,116.692
T,48.9839,8.39289,116.685
T,48.9839,8.39287,116.692
T,48.9839,8.39284,116.698
T,48.9839,8.39282,116.675
T,48.9839,8.39281,116.605
T,48.9839,8.39279,116.558
T,48.9839,8.39278,116.531
T,48.984,8.39278,116.523
T,48.984,8.39278,116.585
T,48.984,8.39278,116.606
T,48.984,8.39279,116.605
T,48.984,8.3928,116.632
T,48.984,8.39282,116.646
T,48.9841,8.39283,116.637
T,48.9841,8.39284,116.639
T,48.9841,8.39285,116.548
T,48.9841,8.39285,116.313
T,48.9841,8.39285,116.188
T,48.9841,8.39284,116.067
T,48.9842,8.39282,115.974
T,48.9842,8.3928,115.899
T,48.9842,8.39277,115.857
T,48.9842,8.39274,115.792
T,48.9842,8.39271,115.75
T,48.9842,8.39267,115.701
T,48.9842,8.39263,115.674
T,48.9842,8.39258,115.626
T,48.9843,8.39254,115.627
T,48.9843,8.39248,115.56
T,48.9843,8.39243,115.514
T,48.9843,8.39238,115.466
T,48.9843,8.39233,115.428
T,48.9843,8.39227,115.394
T,48.9844,8.39222,115.443
T,48.9844,8.39218,115.48
T,48.9844,8.39213,115.515
T,48.9844,8.39209,115.563
T,48.9844,8.39206,115.59
T,48.9844,8.39203,115.594
T,48.9844,8.392,115.598
T,48.9844,8.39199,115.615
T,48.9844,8.39198,115.618
T,48.9845,8.39197,115.594
